年月,地區,產業別,性別,年齡層,信用卡交易筆數,信用卡交易金額[新台幣]
201401,65000000,食,1,未滿20歲,338,889605
201401,65000000,食,1,20(含)-25歲,5729,6278310
201401,65000000,食,1,25(含)-30歲,29935,39838197
201401,65000000,食,1,30(含)-35歲,66145,102250353
201401,65000000,食,1,35(含)-40歲,87018,136928637
201401,65000000,食,1,40(含)-45歲,86854,142863336
201401,65000000,食,1,45(含)-50歲,82055,140001502
201401,65000000,食,1,50(含)-55歲,68799,126637554
201401,65000000,食,1,55(含)-60歲,51502,93718048
201401,65000000,食,1,60(含)-65歲,37290,64917971
201401,65000000,食,1,65(含)-70歲,16067,25897396
201401,65000000,食,1,70(含)-75歲,7424,11232733
201401,65000000,食,1,75(含)-80歲,2675,4111535
201401,65000000,食,1,80(含)歲以上,2254,3000450
201401,65000000,衣,1,未滿20歲,43,136236
201401,65000000,衣,1,20(含)-25歲,807,2032385
201401,65000000,衣,1,25(含)-30歲,2913,7695035
201401,65000000,衣,1,30(含)-35歲,5555,15011561
201401,65000000,衣,1,35(含)-40歲,6941,17846103
201401,65000000,衣,1,40(含)-45歲,6647,18241502
201401,65000000,衣,1,45(含)-50歲,5957,17112758
201401,65000000,衣,1,50(含)-55歲,4271,13932489
201401,65000000,衣,1,55(含)-60歲,2673,8663026
201401,65000000,衣,1,60(含)-65歲,1599,5687967
201401,65000000,衣,1,65(含)-70歲,503,1868629
201401,65000000,衣,1,70(含)-75歲,210,726105
201401,65000000,衣,1,75(含)-80歲,64,190296
201401,65000000,衣,1,80(含)歲以上,104,297559
201401,65000000,住,1,未滿20歲,78,1152905
201401,65000000,住,1,20(含)-25歲,1678,6405739
201401,65000000,住,1,25(含)-30歲,7782,34333987
201401,65000000,住,1,30(含)-35歲,15205,75111399
201401,65000000,住,1,35(含)-40歲,17309,83481607
201401,65000000,住,1,40(含)-45歲,16007,87799757
201401,65000000,住,1,45(含)-50歲,14183,77949487
201401,65000000,住,1,50(含)-55歲,11204,67784802
201401,65000000,住,1,55(含)-60歲,7526,45752721
201401,65000000,住,1,60(含)-65歲,4429,27258985
201401,65000000,住,1,65(含)-70歲,1818,10250442
201401,65000000,住,1,70(含)-75歲,733,3638167
201401,65000000,住,1,75(含)-80歲,308,2166359
201401,65000000,住,1,80(含)歲以上,259,1911508
201401,65000000,行,1,未滿20歲,282,228853
201401,65000000,行,1,20(含)-25歲,7657,4621174
201401,65000000,行,1,25(含)-30歲,40099,27745949
201401,65000000,行,1,30(含)-35歲,78308,64861242
201401,65000000,行,1,35(含)-40歲,86369,82461618
201401,65000000,行,1,40(含)-45歲,76107,82704921
201401,65000000,行,1,45(含)-50歲,64298,72213997
201401,65000000,行,1,50(含)-55歲,52175,61542688
201401,65000000,行,1,55(含)-60歲,37595,44191012
201401,65000000,行,1,60(含)-65歲,22789,25532462
201401,65000000,行,1,65(含)-70歲,7313,8571576
201401,65000000,行,1,70(含)-75歲,2820,3402718
201401,65000000,行,1,75(含)-80歲,661,799805
201401,65000000,行,1,80(含)歲以上,321,471804
201401,65000000,文教康樂,1,未滿20歲,109,501090
201401,65000000,文教康樂,1,20(含)-25歲,2638,5516110
201401,65000000,文教康樂,1,25(含)-30歲,10753,22834087
201401,65000000,文教康樂,1,30(含)-35歲,14916,35206680
201401,65000000,文教康樂,1,35(含)-40歲,13248,35939626
201401,65000000,文教康樂,1,40(含)-45歲,11208,35073338
201401,65000000,文教康樂,1,45(含)-50歲,9541,31737516
201401,65000000,文教康樂,1,50(含)-55歲,6802,25239544
201401,65000000,文教康樂,1,55(含)-60歲,4585,17282829
201401,65000000,文教康樂,1,60(含)-65歲,3011,11293259
201401,65000000,文教康樂,1,65(含)-70歲,1308,5720363
201401,65000000,文教康樂,1,70(含)-75歲,605,2177974
201401,65000000,文教康樂,1,75(含)-80歲,292,1209464
201401,65000000,文教康樂,1,80(含)歲以上,222,661867
201401,65000000,百貨,1,未滿20歲,67,175747
201401,65000000,百貨,1,20(含)-25歲,1560,5110728
201401,65000000,百貨,1,25(含)-30歲,8298,31664229
201401,65000000,百貨,1,30(含)-35歲,17161,62006346
201401,65000000,百貨,1,35(含)-40歲,19852,72573753
201401,65000000,百貨,1,40(含)-45歲,17264,64828326
201401,65000000,百貨,1,45(含)-50歲,14564,59983829
201401,65000000,百貨,1,50(含)-55歲,11108,46091605
201401,65000000,百貨,1,55(含)-60歲,7966,33828003
201401,65000000,百貨,1,60(含)-65歲,5490,21096446
201401,65000000,百貨,1,65(含)-70歲,2448,9305045
201401,65000000,百貨,1,70(含)-75歲,963,2950601
201401,65000000,百貨,1,75(含)-80歲,473,1415921
201401,65000000,百貨,1,80(含)歲以上,312,1033000
201401,65000000,其他,1,未滿20歲,151,580451
201401,65000000,其他,1,20(含)-25歲,4586,18128662
201401,65000000,其他,1,25(含)-30歲,22612,80674219
201401,65000000,其他,1,30(含)-35歲,37697,147874452
201401,65000000,其他,1,35(含)-40歲,39493,164306988
201401,65000000,其他,1,40(含)-45歲,32327,148383271
201401,65000000,其他,1,45(含)-50歲,27279,141269489
201401,65000000,其他,1,50(含)-55歲,20186,112139354
201401,65000000,其他,1,55(含)-60歲,13012,81024389
201401,65000000,其他,1,60(含)-65歲,8004,47881746
201401,65000000,其他,1,65(含)-70歲,2726,16534771
201401,65000000,其他,1,70(含)-75歲,1064,6757015
201401,65000000,其他,1,75(含)-80歲,418,2293906
201401,65000000,其他,1,80(含)歲以上,558,3658325
201401,68000000,食,1,未滿20歲,315,1099454
201401,68000000,食,1,20(含)-25歲,5685,8489134
201401,68000000,食,1,25(含)-30歲,28532,46109994
201401,68000000,食,1,30(含)-35歲,61494,102944261
201401,68000000,食,1,35(含)-40歲,77110,133783689
201401,68000000,食,1,40(含)-45歲,77231,144556503
201401,68000000,食,1,45(含)-50歲,69163,132729719
201401,68000000,食,1,50(含)-55歲,53786,106015636
201401,68000000,食,1,55(含)-60歲,36725,76161077
201401,68000000,食,1,60(含)-65歲,25045,48581437
201401,68000000,食,1,65(含)-70歲,9862,17350381
201401,68000000,食,1,70(含)-75歲,4434,7672174
201401,68000000,食,1,75(含)-80歲,1674,2844150
201401,68000000,食,1,80(含)歲以上,2212,3967528
201401,68000000,衣,1,未滿20歲,70,220679
201401,68000000,衣,1,20(含)-25歲,1169,3131144
201401,68000000,衣,1,25(含)-30歲,4342,10574007
201401,68000000,衣,1,30(含)-35歲,7772,17734574
201401,68000000,衣,1,35(含)-40歲,8961,19913555
201401,68000000,衣,1,40(含)-45歲,8059,18855840
201401,68000000,衣,1,45(含)-50歲,6445,16506130
201401,68000000,衣,1,50(含)-55歲,4002,10961904
201401,68000000,衣,1,55(含)-60歲,2103,6187678
201401,68000000,衣,1,60(含)-65歲,1114,3511496
201401,68000000,衣,1,65(含)-70歲,379,1061597
201401,68000000,衣,1,70(含)-75歲,148,428023
201401,68000000,衣,1,75(含)-80歲,35,76999
201401,68000000,衣,1,80(含)歲以上,127,311052
201401,68000000,住,1,未滿20歲,75,662271
201401,68000000,住,1,20(含)-25歲,1346,5073787
201401,68000000,住,1,25(含)-30歲,6769,27277794
201401,68000000,住,1,30(含)-35歲,13854,57779588
201401,68000000,住,1,35(含)-40歲,17173,77685716
201401,68000000,住,1,40(含)-45歲,16186,70444535
201401,68000000,住,1,45(含)-50歲,14659,70871074
201401,68000000,住,1,50(含)-55歲,10065,53105615
201401,68000000,住,1,55(含)-60歲,7338,44776243
201401,68000000,住,1,60(含)-65歲,4032,19156964
201401,68000000,住,1,65(含)-70歲,1443,7004570
201401,68000000,住,1,70(含)-75歲,646,3059668
201401,68000000,住,1,75(含)-80歲,173,783945
201401,68000000,住,1,80(含)歲以上,324,2166610
201401,68000000,行,1,未滿20歲,807,1002923
201401,68000000,行,1,20(含)-25歲,13855,11764764
201401,68000000,行,1,25(含)-30歲,65354,65537960
201401,68000000,行,1,30(含)-35歲,116024,131987503
201401,68000000,行,1,35(含)-40歲,125162,163720447
201401,68000000,行,1,40(含)-45歲,116744,167668321
201401,68000000,行,1,45(含)-50歲,105273,157534381
201401,68000000,行,1,50(含)-55歲,85455,127520993
201401,68000000,行,1,55(含)-60歲,59163,90559385
201401,68000000,行,1,60(含)-65歲,32549,50460385
201401,68000000,行,1,65(含)-70歲,10609,15254561
201401,68000000,行,1,70(含)-75歲,3701,5624311
201401,68000000,行,1,75(含)-80歲,1047,2086836
201401,68000000,行,1,80(含)歲以上,1802,2569299
201401,68000000,文教康樂,1,未滿20歲,161,954956
201401,68000000,文教康樂,1,20(含)-25歲,2496,9897428
201401,68000000,文教康樂,1,25(含)-30歲,8257,29761281
201401,68000000,文教康樂,1,30(含)-35歲,13471,53015830
201401,68000000,文教康樂,1,35(含)-40歲,15027,65196026
201401,68000000,文教康樂,1,40(含)-45歲,15653,75064186
201401,68000000,文教康樂,1,45(含)-50歲,14700,75155559
201401,68000000,文教康樂,1,50(含)-55歲,12810,65953863
201401,68000000,文教康樂,1,55(含)-60歲,9511,46800392
201401,68000000,文教康樂,1,60(含)-65歲,6859,33192316
201401,68000000,文教康樂,1,65(含)-70歲,3537,13509044
201401,68000000,文教康樂,1,70(含)-75歲,1708,6120484
201401,68000000,文教康樂,1,75(含)-80歲,632,2124750
201401,68000000,文教康樂,1,80(含)歲以上,633,2651656
201401,68000000,百貨,1,未滿20歲,345,1376700
201401,68000000,百貨,1,20(含)-25歲,4146,11203059
201401,68000000,百貨,1,25(含)-30歲,20988,58724819
201401,68000000,百貨,1,30(含)-35歲,41368,117026386
201401,68000000,百貨,1,35(含)-40歲,49146,145668268
201401,68000000,百貨,1,40(含)-45歲,45718,141080803
201401,68000000,百貨,1,45(含)-50歲,37991,128252478
201401,68000000,百貨,1,50(含)-55歲,28280,104404114
201401,68000000,百貨,1,55(含)-60歲,18478,76309039
201401,68000000,百貨,1,60(含)-65歲,10904,49115324
201401,68000000,百貨,1,65(含)-70歲,3610,14307775
201401,68000000,百貨,1,70(含)-75歲,1359,7232229
201401,68000000,百貨,1,75(含)-80歲,416,1411322
201401,68000000,百貨,1,80(含)歲以上,728,2203341
201401,68000000,其他,1,未滿20歲,348,2110288
201401,68000000,其他,1,20(含)-25歲,2651,13474799
201401,68000000,其他,1,25(含)-30歲,12544,63860754
201401,68000000,其他,1,30(含)-35歲,24385,121588614
201401,68000000,其他,1,35(含)-40歲,27079,152342377
201401,68000000,其他,1,40(含)-45歲,24164,143403600
201401,68000000,其他,1,45(含)-50歲,20319,128018642
201401,68000000,其他,1,50(含)-55歲,15416,102644597
201401,68000000,其他,1,55(含)-60歲,10228,74148953
201401,68000000,其他,1,60(含)-65歲,6359,48316644
201401,68000000,其他,1,65(含)-70歲,2274,17664332
201401,68000000,其他,1,70(含)-75歲,916,6167520
201401,68000000,其他,1,75(含)-80歲,344,2366145
201401,68000000,其他,1,80(含)歲以上,548,3580048
201401,66000000,食,1,未滿20歲,292,1105118
201401,66000000,食,1,20(含)-25歲,5003,7509301
201401,66000000,食,1,25(含)-30歲,25012,49930092
201401,66000000,食,1,30(含)-35歲,48160,113328481
201401,66000000,食,1,35(含)-40歲,56291,165210778
201401,66000000,食,1,40(含)-45歲,55694,186157778
201401,66000000,食,1,45(含)-50歲,52017,131982655
201401,66000000,食,1,50(含)-55歲,39993,105942967
201401,66000000,食,1,55(含)-60歲,27326,77532695
201401,66000000,食,1,60(含)-65歲,18266,51012953
201401,66000000,食,1,65(含)-70歲,7279,13328349
201401,66000000,食,1,70(含)-75歲,3710,6625433
201401,66000000,食,1,75(含)-80歲,1634,3208778
201401,66000000,食,1,80(含)歲以上,1177,1982867
201401,66000000,衣,1,未滿20歲,69,199160
201401,66000000,衣,1,20(含)-25歲,1091,3114524
201401,66000000,衣,1,25(含)-30歲,3562,9998185
201401,66000000,衣,1,30(含)-35歲,5955,16228783
201401,66000000,衣,1,35(含)-40歲,6495,17678181
201401,66000000,衣,1,40(含)-45歲,6054,16331414
201401,66000000,衣,1,45(含)-50歲,5120,14057817
201401,66000000,衣,1,50(含)-55歲,3335,10567479
201401,66000000,衣,1,55(含)-60歲,1788,6526961
201401,66000000,衣,1,60(含)-65歲,968,3542363
201401,66000000,衣,1,65(含)-70歲,314,972697
201401,66000000,衣,1,70(含)-75歲,129,562792
201401,66000000,衣,1,75(含)-80歲,56,189058
201401,66000000,衣,1,80(含)歲以上,67,199264
201401,66000000,住,1,未滿20歲,101,677112
201401,66000000,住,1,20(含)-25歲,1014,4439619
201401,66000000,住,1,25(含)-30歲,4944,27567400
201401,66000000,住,1,30(含)-35歲,8946,50347394
201401,66000000,住,1,35(含)-40歲,10484,58592531
201401,66000000,住,1,40(含)-45歲,10512,62905387
201401,66000000,住,1,45(含)-50歲,10175,58402379
201401,66000000,住,1,50(含)-55歲,7158,41756520
201401,66000000,住,1,55(含)-60歲,4431,28683428
201401,66000000,住,1,60(含)-65歲,2711,20096097
201401,66000000,住,1,65(含)-70歲,969,5785612
201401,66000000,住,1,70(含)-75歲,409,3632157
201401,66000000,住,1,75(含)-80歲,195,1335295
201401,66000000,住,1,80(含)歲以上,195,2872573
201401,66000000,行,1,未滿20歲,164,118040
201401,66000000,行,1,20(含)-25歲,3758,2831943
201401,66000000,行,1,25(含)-30歲,20944,18919052
201401,66000000,行,1,30(含)-35歲,40506,42978354
201401,66000000,行,1,35(含)-40歲,40424,48244140
201401,66000000,行,1,40(含)-45歲,37605,50769912
201401,66000000,行,1,45(含)-50歲,32461,43731359
201401,66000000,行,1,50(含)-55歲,25454,36378230
201401,66000000,行,1,55(含)-60歲,16894,22499969
201401,66000000,行,1,60(含)-65歲,9080,12616255
201401,66000000,行,1,65(含)-70歲,2942,3740599
201401,66000000,行,1,70(含)-75歲,1205,1402048
201401,66000000,行,1,75(含)-80歲,356,412196
201401,66000000,行,1,80(含)歲以上,247,457022
201401,66000000,文教康樂,1,未滿20歲,180,1481350
201401,66000000,文教康樂,1,20(含)-25歲,3245,15472618
201401,66000000,文教康樂,1,25(含)-30歲,9644,36595349
201401,66000000,文教康樂,1,30(含)-35歲,12375,49032161
201401,66000000,文教康樂,1,35(含)-40歲,12794,59399294
201401,66000000,文教康樂,1,40(含)-45歲,12473,66866476
201401,66000000,文教康樂,1,45(含)-50歲,10806,65968464
201401,66000000,文教康樂,1,50(含)-55歲,7714,55430906
201401,66000000,文教康樂,1,55(含)-60歲,4888,36566110
201401,66000000,文教康樂,1,60(含)-65歲,2969,22423408
201401,66000000,文教康樂,1,65(含)-70歲,1134,10331572
201401,66000000,文教康樂,1,70(含)-75歲,525,3210366
201401,66000000,文教康樂,1,75(含)-80歲,204,1802809
201401,66000000,文教康樂,1,80(含)歲以上,151,894529
201401,66000000,百貨,1,未滿20歲,254,863846
201401,66000000,百貨,1,20(含)-25歲,3776,14302603
201401,66000000,百貨,1,25(含)-30歲,17005,73017000
201401,66000000,百貨,1,30(含)-35歲,28102,113962253
